Longitude	Latitude	Name	Cruise	Year	Month	Day	Depth_m	Temperature_degreesC	Salinity_psu	Oxygen_mll	Hydrogen_Sulphide_umoll	Ammonium_Nitrogen_umoll
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	93.107834	5.5774	10.4545	0.38		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	93.602974	5.6058	10.5079	0.4		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	94.098114	5.6298	10.5461	0.44		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	94.59325	5.6501	10.5867	0.46		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	95.08839	5.6702	10.6245	0.46		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	95.58353	5.6859	10.6535	0.42		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	96.07866	5.7034	10.6873	0.34		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	96.57379	5.7169	10.7153	0.31		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	97.068924	5.7317	10.744	0.29		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	97.56406	5.7449	10.7591	0.28		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	98.05919	5.759	10.7843	0.27		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	98.55431	5.7758	10.81	0.26		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	99.049446	5.7693	10.8002	0.28		0.2
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	99.54457	5.7894	10.8391	0.29		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	100.039696	5.8005	10.8572	0.3		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	100.53482	5.8116	10.8775	0.31		
